branch	tip_sha	date	subject
feat/r4-r8-ui-review-guideline-discovery	3c171c206a2ad86d8c27c1915dc3d21e71725696	2026-04-28	docs(ui-visual-review): add ordered guideline search list to Rule #1
feat/r4-si-implementation-dispatch-preamble	800636fc090548a27c1fb4b45da27327e14567ef	2026-04-29	feat: add canonical goal preamble to SI implementation dispatch
feat/r4-slim-workflow-companions	2f0a022d4ac190fe86d4ee181075ef5f6c0ebae2	2026-04-08	feat: add slim workflow companions for rpi, user-testing, onboarding, pr-prep
feat/r4-task-decomp-canonical-goal-preamble	e7def9b252b47123ae05393ef6a2716bd4661f18	2026-04-29	feat(task-decomposition): require canonical goal preamble and Goal-Alignment Note in step 3 dispatches
feat/r5-dead-script-cleanup	429f234a86371941b05f4ec56947116d6433854a	2026-04-08	refactor: remove dead scripts collect-evidence.sh and search-external-ideas.sh
feat/r5-dry-run-mode	0f4066fb8a6f45684838875a794a5883b3b03c52	2026-04-08	feat: add --dry-run flag to self-improvement.sh
feat/r5-internal-si-deferred-questions-tag-audit	260c3b53697d896cb96a17d3baccfe082f3bd0d1	2026-04-29	fix(si): backfill Scope column in hypothesis-log so internal-si rows stop leaking into deferred questions
feat/r5-r5b-architecture-review-integration	4bda7e33f786cef749164d4e12da2366c4bc5837	2026-04-28	feat: integrate architecture-review as contextual critic in code-review
feat/r5-r5b-code-fact-check-stale-patterns	f8db42e8a66b527cb22a45d442089571f3993861	2026-04-28	docs: enumerate high-frequency stale-comment patterns in code-fact-check
feat/r5-r5b-cowen-technical-draft	745c1a0752ec9fb4c6144be5cd9e065c554ef2e5	2026-04-28	docs: add technical-draft prioritization note to cowen-critique
feat/r5-r5b-onboarding-test-discovery	6747e1047bf2f13529ac937609e12604ee216116	2026-04-28	docs: add test infrastructure to onboarding architecture map
feat/r5-r5b-perf-micro-macro	fa5e9bf4a65bf618e0fd7bacfc62679e56eb0b94	2026-04-28	feat: add severity calibration matrix to performance-reviewer skill
feat/r5-r5b-pr-prep-description-gate	af3a6e42ca8283810b6e35916f7d2815383e16c5	2026-04-28	docs: add 3-question description gate to pr-prep workflow
feat/r5-r5b-rpi-assumed-closeout	7f0a2dfe129e226e0075bab86f5f4616eaf4a486	2026-04-28	docs: require [assumed] tag closeout in RPI step 5 commits
feat/r5-r5b-spike-timebox-defaults	6e5b263c2eb81879a7cca754d24f81a75655852e	2026-04-28	docs: add anchor timebox defaults table to spike workflow step 2
feat/r5-r5b-task-decomp-output-template	16b751cf320ae3713843b57f8731a6386dc0619a	2026-04-28	docs: add recommended sub-agent output scaffold to task-decomposition step 3
feat/r5-r5b-task-decomp-quality-signals	10505a2a178adf5c60ce137e59ee82af3c9b706f	2026-04-28	feat: add decomposition-quality signals to task-decomposition step 1
feat/r5-r5b-ui-visual-keyboard-nav	13da9ba37471d029992816f1648ddff3a62a45f7	2026-04-28	docs(ui-visual-review): add keyboard navigation runtime sub-step
feat/r5-si-implementer-validation-aware-success	066a2fc2d0280f8af331bee74fbd24f7bfd586fc	2026-04-29	feat(self-improvement): list explicit gate-passing predicates in implementer dispatch
feat/r5-workflow-complexity-reduction	193a47a24acbd2371bc4dbd0be8f7dd729a03bcd	2026-04-08	docs: add summary for workflow complexity reduction task
feat/r6-branch-strategy-conflict-prevention	49c5ea902b5f9b281b2af7ef9e2cefa700e5282b	2026-04-28	docs: add conflict prevention subsection to branch-strategy
feat/r6-bug-diagnosis-repro-criterion	8ec200595c07d208835cbd2a6f158360db51d310	2026-04-28	docs: add reproduction reliability criterion to debugging default #1
feat/r6-claude-api-caching-check	255a2598baa6737312630aa19338124d278c451b	2026-04-28	docs: log scope exception for claude-api caching-check task
feat/r6-cowen-technical-draft-note	de457e5d171d3d1e3346d071eb86b721b93094ff	2026-04-28	docs: add technical-draft guidance subsection to cowen-critique
feat/r6-dd-rejected-candidates-capture	d654eddc3e5e175048007b626bb5c11ee5fde087	2026-04-28	docs(divergent-design): require ≥3 rejected-candidate entries in decision record
feat/r6-dead-script-cleanup-single	a91dd3d693e14eb1e676ee39612edfceb1710a7b	2026-04-08	refactor: remove dead script search-external-ideas.sh (353 lines)
feat/r6-fact-check-long-draft-prioritization	3ce7afd3962929aa1b65d0f88efee3ba19846a88	2026-04-28	docs(fact-check): add claim prioritization guidance for long drafts
feat/r6-hypothesis-log-archival	fc802a19f725e0419d4430edbc23e50d5dce2dc0	2026-04-28	docs: move resolved hypothesis-log entries to local archive
feat/r6-onboarding-handoff-hint	deff32773e764759a08c39569fb40da5b4b7680d	2026-04-28	docs: add RPI handoff prompt to codebase-onboarding step 7
feat/r6-pr-prep-scope-drift	51851cf95d3a535e56c85025819db87979b4bf17	2026-04-28	docs: add scope-drift default to pr-prep review-fix loop
feat/r6-r6-pr-prep-post-merge-checklist	b27d179545468cd5ddbeab75d9ec8338828791da	2026-04-09	feat: add optional post-merge follow-up checklist to pr-prep workflow
feat/r6-rpi-bug-fix-sufficiency-bullet	89c63b5d6e13235fda03f2e4b92cddfb9965fa80	2026-04-28	docs: add bug-fix variant to research sufficiency signals in RPI
feat/r6-seed-context-enrichment	4203a49cf2ef09ac765650b6fe8ea243f619addd	2026-04-08	feat: inject gate pass/fail rates into DD idea generation prompt
feat/r6-ui-interaction-states-checklist	6a87c3f08dc1ac52229232f1f40a43186b52ab39	2026-04-28	feat: add interaction-state coverage checklist item to ui-visual-review
feat/r6-yglesias-cowen-disambiguation	2848257a5a2df22b664f9e1b1853672f93d363ba	2026-04-28	docs: add yglesias-vs-cowen disambiguation note to yglesias-critique
feat/r7-collect-evidence-removal	c13cd5cab2b823c9331e95baba2e9d380441e39c	2026-04-08	feat: remove collect-evidence.sh (476 lines dead code) and close hypotheses
feat/r7-merge-effectiveness-framing-replace	f695b282f706489184965a882982b1eecae9c127	2026-04-08	docs: add working summary for merge-effectiveness-framing-replace task
feat/r7-orphan-function-wiring	bb705a59f1e005f7c1795c155bbffa2bfbeed3dd	2026-04-08	feat: wire 3 orphan si-functions into self-improvement.sh entry points
feat/r7-task-summary-backfill	c10aa77a8139bac8c819ddb7d7d682f25587b3de	2026-04-08	docs: backfill 9 missing task summaries in completed-tasks.md
feat/r7-workflow-composition-guide	bf2f4d57100092b387b818ef214061fe84861868	2026-04-08	docs: add workflow composition guide to CLAUDE.md
feat/r8-merge-effectiveness-framing-replace	8e4259c6a2b2038683c61a14bb70aa803160eba3	2026-04-08	docs: add working summary for merge-effectiveness-framing-replace task
feat/r8-rpi-research-templates	a4d486db36d61428cae99f101553cca6d1030f30	2026-04-08	docs: add working summary for rpi-research-templates task
feat/r9-debugging-worked-examples	07bd34d5a488299b1c8b83d122646b7c8b1cea37	2026-04-08	docs: add working summary for debugging worked examples task
feat/r9-merge-effectiveness-framing	1f7d09bc4c6ec5e55b1da0cf18ae9c538bb9bafb	2026-04-08	merge: integrate effectiveness-framing-replace from feat/r8
feat/r9-usage-data-analysis-boring	173de6d4c608802494182cc7c61efe50143f1935	2026-04-08	docs: resolve H-01, H-05, H-07 as INCONCLUSIVE from usage.jsonl analysis
